DATE,WILLREITIND
2006-08-11,5099.74
2006-08-14,5156.43
2006-08-15,5212.15
2006-08-16,5217.33
2006-08-17,5223.18
2006-08-18,5238.83
2006-08-21,5268.85
2006-08-22,5314.13
2006-08-23,5265.92
2006-08-24,5294.42
2006-08-25,5286.48
2006-08-28,5342.59
2006-08-29,5339.58
2006-08-30,5383.25
2006-08-31,5379.55
2006-09-01,5349.05
2006-09-04,.
2006-09-05,5399.70
2006-09-06,5378.23
2006-09-07,5336.48
2006-09-08,5385.08
2006-09-11,5411.77
2006-09-12,5477.04
2006-09-13,5513.07
2006-09-14,5485.01
2006-09-15,5520.83
2006-09-18,5481.56
2006-09-19,5525.08
2006-09-20,5505.79
2006-09-21,5445.66
2006-09-22,5472.30
2006-09-25,5464.63
2006-09-26,5452.82
2006-09-27,5508.67
2006-09-28,5487.51
2006-09-29,5484.22
2006-10-02,5477.50
2006-10-03,5533.92
2006-10-04,5599.18
2006-10-05,5643.50
2006-10-06,5590.84
2006-10-09,5634.38
2006-10-10,5631.78
2006-10-11,5608.07
2006-10-12,5652.66
2006-10-13,5714.41
2006-10-16,5740.07
2006-10-17,5720.22
2006-10-18,5752.32
2006-10-19,5739.62
2006-10-20,5736.06
2006-10-23,5768.21
2006-10-24,5741.43
2006-10-25,5771.28
2006-10-26,5824.33
2006-10-27,5784.20
2006-10-30,5820.27
2006-10-31,5829.88
2006-11-01,5782.41
2006-11-02,5671.88
2006-11-03,5603.39
2006-11-06,5654.32
2006-11-07,5585.19
2006-11-08,5597.37
2006-11-09,5607.06
2006-11-10,5640.44
2006-11-13,5649.88
2006-11-14,5732.76
2006-11-15,5727.32
2006-11-16,5770.41
2006-11-17,5750.07
2006-11-20,5951.60
2006-11-21,6057.46
2006-11-22,6075.03
2006-11-23,.
2006-11-24,6115.17
2006-11-27,5950.05
2006-11-28,5954.84
2006-11-29,6046.56
2006-11-30,6107.93
2006-12-01,6093.35
2006-12-04,6174.00
2006-12-05,6117.32
2006-12-06,6077.54
2006-12-07,6049.24
2006-12-08,6055.07
2006-12-11,6073.42
2006-12-12,6045.15
2006-12-13,6010.94
2006-12-14,6015.51
2006-12-15,5976.68
2006-12-18,5935.90
2006-12-19,5877.33
2006-12-20,5932.46
2006-12-21,5870.89
2006-12-22,5823.03
2006-12-25,.
2006-12-26,5869.02
2006-12-27,5934.37
2006-12-28,5952.21
2006-12-29,5969.70
2007-01-01,.
2007-01-02,.
2007-01-03,5973.38
2007-01-04,5972.18
2007-01-05,5875.09
2007-01-08,5872.53
2007-01-09,5947.71
2007-01-10,6031.47
2007-01-11,6110.76
2007-01-12,6131.91
2007-01-15,.
2007-01-16,6224.75
2007-01-17,6227.63
2007-01-18,6209.51
2007-01-19,6280.01
2007-01-22,6229.41
2007-01-23,6256.33
2007-01-24,6344.85
2007-01-25,6390.58
2007-01-26,6409.67
2007-01-29,6419.99
2007-01-30,6458.93
2007-01-31,6501.40
2007-02-01,6527.43
2007-02-02,6550.56
2007-02-05,6559.11
2007-02-06,6650.71
2007-02-07,6788.68
2007-02-08,6751.68
2007-02-09,6673.23
2007-02-12,6550.11
2007-02-13,6670.53
2007-02-14,6628.42
2007-02-15,6680.32
2007-02-16,6653.88
2007-02-19,.
2007-02-20,6709.66
2007-02-21,6688.32
2007-02-22,6651.62
2007-02-23,6540.62
2007-02-26,6505.87
2007-02-27,6292.29
2007-02-28,6355.76
2007-03-01,6296.48
2007-03-02,6172.18
2007-03-05,5941.53
2007-03-06,6147.92
2007-03-07,6058.42
2007-03-08,6158.56
2007-03-09,6242.40
2007-03-12,6279.65
2007-03-13,6123.46
2007-03-14,6151.04
2007-03-15,6216.07
2007-03-16,6158.59
2007-03-19,6223.55
2007-03-20,6228.89
2007-03-21,6317.09
2007-03-22,6310.75
2007-03-23,6317.26
2007-03-26,6225.13
2007-03-27,6141.65
2007-03-28,6103.09
2007-03-29,6108.88
2007-03-30,6192.93
2007-04-02,6249.74
2007-04-03,6301.04
2007-04-04,6270.80
2007-04-05,6267.42
2007-04-06,.
2007-04-09,6277.93
2007-04-10,6302.97
2007-04-11,6198.68
2007-04-12,6164.84
2007-04-13,6228.32
2007-04-16,6240.90
2007-04-17,6323.23
2007-04-18,6278.59
2007-04-19,6237.04
2007-04-20,6280.09
2007-04-23,6364.72
2007-04-24,6317.39
2007-04-25,6319.62
2007-04-26,6305.85
2007-04-27,6298.56
2007-04-30,6190.38
2007-05-01,6137.73
2007-05-02,6182.87
2007-05-03,6198.26
2007-05-04,6142.18
2007-05-07,6161.36
2007-05-08,6115.86
2007-05-09,6185.82
2007-05-10,6097.47
2007-05-11,6191.72
2007-05-14,6156.98
2007-05-15,6061.02
2007-05-16,5999.23
2007-05-17,5884.39
2007-05-18,5814.82
2007-05-21,5861.00
2007-05-22,5935.83
2007-05-23,5878.71
2007-05-24,5773.55
2007-05-25,5828.72
2007-05-28,.
2007-05-29,6046.67
2007-05-30,6213.61
2007-05-31,6194.54
2007-06-01,6195.89
2007-06-04,6226.58
2007-06-05,6116.21
2007-06-06,6078.02
2007-06-07,5885.64
2007-06-08,5967.61
2007-06-11,5870.40
2007-06-12,5768.55
2007-06-13,5901.92
2007-06-14,5839.23
2007-06-15,5895.82
2007-06-18,5798.61
2007-06-19,5819.06
2007-06-20,5678.06
2007-06-21,5666.33
2007-06-22,5639.71
2007-06-25,5552.20
2007-06-26,5545.27
2007-06-27,5678.27
2007-06-28,5637.98
